skill;course_name;link;platform
unreal engine;Unreal Engine Fundamentals;https://www.coursera.org/learn/unreal-engine-fundamentals/paidmedia?specialization=epic-games-game-design-professional-certificate&utm_medium=sem&utm_source=bg&utm_campaign=b2c_namer_epic-games-game-design-professional-certificate_epic-games_ftcof_professional-c_px_dr_bau_bg_sem_pr-bd_us-ca_en_m_x&campaignid=662913960&adgroupid=1245748004167907&device=c&keyword=https://www.coursera.org/enroll/learn/unreal-engine-fundamentals/paidmedia?specialization%3Depic-games-game-design-professional-certificate&matchtype=b&network=o&devicemodel=&adposition=&creativeid=77859379614267&adgroup=Game%20Developer%20-%20All%20KWs%20-%20DSA%20dynamic%20ad%20group&querystring=unreal%20engine%20course&targetid=dat-2329658981346654:loc-187&bidmatchtype=bb&extensionid=&msclkid=0c9a8ffefe43148cac02e6bc235450a3&utm_term=https://www.coursera.org/enroll/learn/unreal-engine-fundamentals/paidmedia?specialization%3Depic-games-game-design-professional-certificate&utm_content=Game%20Developer%20-%20All%20KWs%20-%20DSA%20dynamic%20ad%20group&specialization=epic-games-game-design-professional-certificate&utm_medium=sem&utm_source=bg&utm_campaign=b2c_namer_epic-games-game-design-professional-certificate_epic-games_ftcof_professional-c_px_dr_bau_bg_sem_pr-bd_us-ca_en_m_x&campaignid=662913960&adgroupid=1245748004167907&device=c&keyword=https://www.coursera.org/enroll/learn/unreal-engine-fundamentals/paidmedia?specialization%3Depic-games-game-design-professional-certificate&matchtype=b&network=o&devicemodel=&adposition=&creativeid=77859379614267&adgroup=Game%20Developer%20-%20All%20KWs%20-%20DSA%20dynamic%20ad%20group&querystring=unreal%20engine%20course&targetid=dat-2329658981346654:loc-187&bidmatchtype=bb&extensionid=&msclkid=0c9a8ffefe43148cac02e6bc235450a3&utm_term=https://www.coursera.org/enroll/learn/unreal-engine-fundamentals/paidmedia?specialization%3Depic-games-game-design-professional-certificate&utm_content=Game%20Developer%20-%20All%20KWs%20-%20DSA%20dynamic%20ad%20group;Coursera
github actions;The Complete GitHub Actions & Workflows Guide;https://www.udemy.com/course/github-actions/?couponCode=CM251217G2;Udemy
facilitation;Workshop Facilitation Masterclass;https://www.udemy.com/course/workshop-facilitation-masterclass/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Facilitation+Course&utm_content=o&funnel=&test=&msclkid=7bc37ae468881c96cd5c13a6b5f43055&couponCode=CM251217G2;Udemy
lead generation;LinkedIn Marketing & Lead Generation Bootcamp for B2B Sales;https://www.udemy.com/course/how-to-generate-leads-with-linkedin/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Lead+Generation+Course&utm_content=o&funnel=&test=&msclkid=329c3ec1781a1bab97ea5783c6d56a42&couponCode=CM251217G2;Udemy
ccna;The Complete Networking Fundamentals Course. Your CCNA start;https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/?utm_campaign=BG-Search_Keyword_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=CCNA+course&utm_content=o&funnel=&test=&msclkid=203826bbf9791ab89fb84ff943413530&couponCode=CM251217G2;Udemy
ticketing systems;Master Ticketing System & Help Desk Fundamentals;https://www.udemy.com/course/ticketing-system-and-help-desk-fundamentals/?couponCode=CM251217G2;Udemy
network monitoring;Network Monitoring and Analysis;https://www.coursera.org/learn/google-network-monitoring-and-analysis;Coursera
manual testing;Software Manual Testing - Complete course beginner to expert;https://www.udemy.com/course/software-manual-testing-course/?utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=IT+en&utm_content=o&funnel=&test=&msclkid=07083a0798121513b28f5345245b6999&couponCode=CM251217G2;Udemy
power apps;Power Apps - Complete Guide to Microsoft PowerApps;https://www.udemy.com/course/complete-guide-to-microsoft-powerapps-basic-to-advanced/;Udemy
risk assessment;Risk Assessment for Safety and Health : The Complete Course;https://www.udemy.com/course/risk-assessment-for-safety-and-health/?utm_campaign=BG-Search_DSA_Beta_Prof_la.EN_cc.ROW-English&utm_source=bing&utm_medium=paid-search&portfolio=Bing-ROW-English&utm_audience=mx&utm_tactic=nb&utm_term=Career+Development&utm_content=o&funnel=&test=&msclkid=7601eb2c34ca1125c169826eea939166&couponCode=CM251217G2;Udemy
